listing_id,calendar_updated,from_date,availability_30,availability_60,availability_90
5801729,today,2016-05-18,1,15,45
2315897,5 days ago,2016-05-18,0,9,39
9007299,3 months ago,2016-05-18,0,0,0
11106847,4 weeks ago,2016-05-18,0,0,0
7978362,6 months ago,2016-05-19,0,0,0
5221963,today,2016-05-19,5,13,13
12523435,yesterday,2016-05-19,0,2,2
4915203,5 weeks ago,2016-05-19,0,0,0
5975909,4 weeks ago,2016-05-20,0,12,31
4964614,6 days ago,2016-05-20,11,32,62
11317693,2 weeks ago,2016-05-20,23,53,83
11295273,4 days ago,2016-05-20,2,5,11
8221469,5 months ago,2016-05-20,0,0,0
13012773,a week ago,2016-05-21,0,0,18
3585404,a week ago,2016-05-21,2,2,2
10401469,3 days ago,2016-05-21,16,38,62
3605358,2 months ago,2016-05-21,13,17,37
7799902,3 weeks ago,2016-05-21,0,0,0
7824823,3 days ago,2016-05-21,0,1,1
12546546,a week ago,2016-05-21,0,19,37
7823938,3 weeks ago,2016-05-21,0,5,5
12673420,today,2016-05-17,1,1,7
3238604,6 months ago,2016-05-17,0,0,0
9529844,yesterday,2016-05-17,10,27,57
7483723,a week ago,2016-05-17,5,13,28
9633833,4 days ago,2016-05-18,3,11,24
9650094,yesterday,2016-05-18,15,33,63
9961606,today,2016-05-18,0,3,10
8940906,today,2016-05-18,3,14,21
11283270,2 days ago,2016-05-18,7,26,46
5167712,6 weeks ago,2016-05-18,0,0,1
10101089,2 weeks ago,2016-05-19,7,21,47
10257500,a week ago,2016-05-20,13,35,58
3897696,4 weeks ago,2016-05-20,0,0,0
11260926,4 weeks ago,2016-05-20,0,0,0
10254698,yesterday,2016-05-20,0,3,23
3968482,3 days ago,2016-05-20,8,35,65
12890649,5 days ago,2016-05-20,23,44,57
3992779,today,2016-05-20,0,14,42
5041643,yesterday,2016-05-20,2,10,18
12381276,2 weeks ago,2016-05-21,5,19,48
12972890,a week ago,2016-05-21,0,0,18
6181716,6 months ago,2016-05-21,0,0,0
7240753,2 weeks ago,2016-05-21,7,15,34
8865987,a week ago,2016-05-21,0,2,2
8884450,3 days ago,2016-05-21,4,17,29
11531497,6 days ago,2016-05-21,0,7,7
8390303,3 months ago,2016-05-17,0,0,0
1235,3 months ago,2016-05-17,0,0,0
8489151,a week ago,2016-05-17,6,12,40
6402993,yesterday,2016-05-17,2,16,37
6668396,yesterday,2016-05-18,14,42,72
4395576,today,2016-05-18,1,12,12
4415554,yesterday,2016-05-18,10,31,57
11753865,today,2016-05-18,4,12,21
4415985,yesterday,2016-05-18,5,30,60
1601962,today,2016-05-18,1,1,13
10231339,3 months ago,2016-05-18,0,7,7
