id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12451580,Sunnyside Bungalow Bedroom,14007548,Amberly,Sunnyside,39.77432788,-105.0039946,Private room,51,1,0,,,1,174
5672771,Amazing 2-Story Home Sunnyside,29411161,Lucas,Sunnyside,39.77172388,-105.007385,Entire home/apt,120,2,0,,,1,266
10500808,Hip & Unique LoHi Urban Homestead,10086231,Emily,Sunnyside,39.76975862,-104.998866,Entire home/apt,99,1,10,5/1/2016,2.8,1,3
7592501,Spacious Sunnyside Apartment,14168250,Alex,Sunnyside,39.77204139,-105.0209685,Entire home/apt,90,2,14,4/24/2016,1.79,1,150
1802131,2 bedrooms on top floor of house.,1275081,Erika & Shawn,Sunnyside,39.78199101,-105.0172166,Private room,35,2,0,,,3,144
785140,Private room in 3 bdr near downtown,1275081,Erika & Shawn,Sunnyside,39.7798859,-105.0158055,Private room,36,4,14,9/1/2015,0.45,3,231
1845556,Your Home Away from Home-Highlands,8704266,John,Sunnyside,39.77955226,-105.0222159,Entire home/apt,100,1,82,2/27/2016,3.07,1,316
4065526,Historic Denver Highland Home,20575539,Erin,Sunnyside,39.77190021,-105.016942,Entire home/apt,175,2,4,1/2/2016,0.22,1,1
9952821,Home in Highlands/Sunnyside,1275081,Erika & Shawn,Sunnyside,39.78182894,-105.0161821,Entire home/apt,75,2,1,1/5/2016,0.22,3,0
10705932,"Home in the Highlands, near Stadium",55318894,Cameron,Sunnyside,39.77391683,-105.0215883,Entire home/apt,115,1,0,,,1,0
9825660,The Breakfast Club Suite,37169261,Cody & Katie,Sunnyside,39.77582127,-105.0186756,Private room,39,1,34,4/24/2016,6.26,2,321
5762080,CARRIAGE HOUSE LOFT,27972232,Bettina,Sunnyside,39.77024164,-105.0136671,Entire home/apt,124,3,33,4/24/2016,2.44,1,301
10037506,Sunny+Charming 1920s Sunnyside home,51525658,Brianne,Sunnyside,39.77901804,-105.0223139,Entire home/apt,145,1,1,2/28/2016,0.37,1,29
1811842,Clean Private Room/Floor near LoHi,1335065,Chris,Sunnyside,39.77033809,-105.0127009,Private room,80,3,10,11/15/2015,0.33,1,148
9237825,"New, hip, private apt in Sunnyside",23112792,Nola,Sunnyside,39.77048351,-105.0105035,Entire home/apt,68,5,1,4/11/2016,0.73,1,87
9788675,Crash Space near Downtown Denver,627493,Brian,Sunnyside,39.77214491,-105.0167907,Shared room,32,1,7,5/7/2016,1.52,2,50
9771731,Great 1 Bdrm near Downtown Denver,627493,Brian,Sunnyside,39.77233348,-105.0159634,Entire home/apt,62,2,3,4/23/2016,1.07,2,101
9886089,The Bed & Breakfast at 44th,37169261,Cody & Katie,Sunnyside,39.77610491,-105.019162,Private room,28,1,37,4/29/2016,6.89,2,343
5232557,"Luxury, convenient & cheap! Lohi",10039778,Brody,Sunnyside,39.77450348,-105.0085199,Private room,85,1,3,4/22/2015,0.21,1,365
11496933,Modern Remodel-Close to Downtown,58878331,Wes,Sunnyside,39.77230085,-105.0097772,Entire home/apt,160,1,1,3/7/2016,0.39,1,336
11529607,Great room in great neighborhood,2505539,Chris,Sunnyside,39.77177392,-105.0112109,Private room,39,1,1,3/17/2016,0.45,1,0
7789746,Bright Bungalow close to downtown,33736820,Gia,Sunnyside,39.77161297,-105.0030273,Private room,60,2,22,4/22/2016,2.51,1,348
4808822,Private room and bath in Denver,7458686,Catherine,Sunnyside,39.7710299,-105.0066497,Private room,60,1,1,3/18/2016,0.48,2,341
3782011,Charming Sunnyside Retreat,16755974,Tina,Sunnyside,39.77061675,-105.0148348,Entire home/apt,150,5,21,4/15/2016,0.99,1,257
10017182,Spacious Clean Sunnyside studio,23496140,Philip,Sunnyside,39.77687051,-105.0212558,Entire home/apt,48,1,6,3/31/2016,1.22,1,0
721758,Great Bungalow close to Downtown,2882621,Chris,Sunnyside,39.77691424,-105.008469,Entire home/apt,119,1,331,5/17/2016,7.56,5,315
12871366,"Private bed, bath & living area",7458686,Catherine,Sunnyside,39.77183756,-105.0087839,Private room,50,1,0,,,2,12
9238089,Comfortable Room in Highlands Area,26358516,Brian,Sunnyside,39.77031505,-105.0073137,Private room,45,1,1,3/26/2016,0.53,1,284
11966335,420 friendly clean open floor plan,59967996,William,Sunnyside,39.7709383,-105.0110152,Entire home/apt,150,1,5,5/16/2016,3.66,1,325
6464704,Redesigned Historic Blacksmith Shop,1838,Jennifer,Sunnyside,39.77180203,-105.0009042,Entire home/apt,125,1,33,5/9/2016,2.9,1,185
1069351,Historic Denver Bungalow,3577356,Bonnie,Sunnyside,39.77379825,-105.0093657,Entire home/apt,230,6,4,4/8/2015,0.12,2,305
10683692,Beautiful 1 bdrm garden apartment,48207685,Tracia,Sunnyside,39.77492656,-105.0085635,Entire home/apt,60,1,22,5/10/2016,6.29,1,297
