id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4350898,10 Minutes to Dowtown! Modern New Bedroom,7447494,Kathryn,Dorchester,42.32810032,-71.06174181,Private room,99,2,2,31-08-16,2,1,342
14040282,Spacious Bedroom at Family Home,54749443,Thanh&Curt,Dorchester,42.29855671,-71.06806817,Private room,96,4,6,27-08-16,6,2,171
3953472,2 Bedroom Condo near the Red Line ,8202984,Nathan And Kathryn,Dorchester,42.29160795,-71.06134784,Entire home/apt,144,4,12,08-05-16,0.51,1,19
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,Dorchester,42.32328571,-71.06210287,Entire home/apt,126,6,17,19-05-15,0.22,10,337
1544702,Mary's Ocean View Metro Downtown,6608084,CarneyFamily,Dorchester,42.30944862,-71.04554952,Private room,77,1,222,04-09-16,6.09,7,269
315982,"Charming, Cozy 2 br Townhouse",119019,Hermina,Dorchester,42.29928984,-71.05996995,Entire home/apt,165,1,84,11-08-16,1.53,9,132
561769,The Sky View | 2BR 1BA | 3rd Floor,71783,Lance,Dorchester,42.31323994,-71.06241647,Entire home/apt,142,2,4,29-07-16,0.08,10,38
12344014,Sun-Drenched Loft,1570388,Kayt,Dorchester,42.31648145,-71.06502548,Entire home/apt,175,2,3,05-06-16,0.86,1,0
7071883,Spacious 2 bed w parking available,4609373,Tania,Dorchester,42.31137052,-71.05185432,Entire home/apt,195,2,15,15-08-16,1.04,1,86
4494419,"Umass, city,MGH,BCEC,Longwood 16E",16442921,Orchid,Dorchester,42.31317862,-71.05637455,Private room,59,3,2,29-09-15,0.09,15,311
3166256,Welcome to Shangri la,16059043,Veronika,Dorchester,42.32598026,-71.06134196,Entire home/apt,135,3,102,24-08-16,3.74,1,285
13242393,Renovated House near Subway/Rail Everything New,18517776,Huggy,Dorchester,42.30437279,-71.07193226,Private room,39,30,1,30-06-16,0.43,6,340
2871079,Minutes to ocean or city,14674644,Rob,Dorchester,42.31945991,-71.0563988,Entire home/apt,250,1,0,,,1,248
13979354,"Private Room #2, Free Parking!",34532779,Christian,Dorchester,42.32075915,-71.06861134,Private room,88,1,14,01-09-16,7.92,2,357
10268223,Looking for sublet in January only,52796234,Paul-Eirik,Dorchester,42.31792175,-71.05345528,Private room,60,1,2,17-01-16,0.25,1,248
3641545,Special Circumstances Extra Room(s),6608084,CarneyFamily,Dorchester,42.30804199,-71.04788235,Private room,68,1,5,11-02-16,0.22,7,0
839265,Private Room in Spacious Apartment2,1997048,ToRena,Dorchester,42.2982235,-71.07621396,Private room,56,3,16,11-01-16,0.36,5,321
232990,Comfort in Historic Melville Park 3,847253,Susan,Dorchester,42.29480477,-71.06813884,Private room,79,2,55,20-06-16,0.9,3,291
1584362,Grace's Harborview Fast T Downtown,6608084,CarneyFamily,Dorchester,42.31050176,-71.04811586,Private room,63,1,232,02-09-16,6.48,7,258
4503393,"Umass, City, MGH, BCEC, Longwood 2E",16442921,Orchid,Dorchester,42.31812609,-71.05451533,Private room,55,3,3,13-07-15,0.13,15,365
1821633,Queen Size Four Poster Bed,7799789,Bruce,Dorchester,42.30957665,-71.0479234,Private room,100,1,123,06-09-16,3.53,3,327
4934600,Newly Renovated Studio,25424192,Yonatan,Dorchester,42.29536597,-71.05958006,Entire home/apt,150,2,64,04-09-16,4.92,3,315
3394437,Beautiful Single-Family Boston Home,16912440,Meaghan,Dorchester,42.31395525,-71.06142191,Entire home/apt,300,2,14,14-08-16,0.56,1,207
533114,The Sawyer | 2BR 2.5BA | 1st Floor,71783,Lance,Dorchester,42.31167122,-71.06168215,Entire home/apt,168,2,8,17-08-16,0.16,10,313
7367795,3 men & a dog 1 room for rent,31866207,Tim,Dorchester,42.31912084,-71.05158325,Private room,150,1,4,17-08-15,0.29,1,3
8523157,Bright & Spacious Private Room,30240262,Matthew And Nathan,Dorchester,42.31507326,-71.06342635,Private room,79,1,16,25-08-16,3.08,1,258
12586305,Lorna's garden,34832265,Lorna,Dorchester,42.28174863,-71.08586808,Private room,70,1,3,29-08-16,1.45,3,364
12175961,Very Close 2 Red Line with AirBed!,16186589,Marie,Dorchester,42.28825021,-71.06667507,Private room,35,10,1,13-05-16,0.25,20,305
6965516,Comfortable Brownstone Home,31175333,Joyce,Dorchester,42.28948306,-71.05939283,Private room,73,4,1,02-11-15,0.1,3,108
6655012,Cookyee's Paradise,34832265,Lorna,Dorchester,42.28373701,-71.08581156,Private room,65,1,14,02-09-16,2.9,3,361
12126299,"Sunny & Spacious 3 BR, Close to T",115522,Nate + Danielle,Dorchester,42.29538345,-71.06027899,Entire home/apt,275,2,2,01-08-16,0.63,2,315
5048406,3rd floor room in Victorian House,26062958,Yvonne,Dorchester,42.31261082,-71.06709804,Private room,78,2,23,09-06-16,1.2,2,248
3311675,"Umass, Harvard, MGH,Longwood, 16D",16442921,Orchid,Dorchester,42.31144209,-71.05763657,Private room,52,5,3,05-09-15,0.12,15,341
1262443,Happy hippy home ,4463536,Stephanie,Dorchester,42.31785859,-71.06289235,Private room,39,1,3,01-04-16,0.36,1,276
8161218,"Comfy Room ""A"" On a Scenic Hill",43078666,Edith,Dorchester,42.31588827,-71.07199504,Private room,100,1,2,06-10-15,0.16,3,365
13325983,Private 1 bed/ 1 bath near Red line (JFK/Umass),24587960,Sun Young,Dorchester,42.3205905,-71.04375558,Private room,60,1,7,12-08-16,3.28,1,0
3294775,Sea view near metro & city center!,9898255,Jessica,Dorchester,42.31417775,-71.060367,Private room,65,2,62,21-08-16,2.33,4,275
