id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3798024,Lovely Garage Apt in Central Austin,2194671,Louie,,78756,30.31504002313443,-97.7448839934265,Entire home/apt,120,30,3,2015-09-01,0.12,2,364
1242559,Harmony House - Central Austin,582827,Troy,,78756,30.320847234841423,-97.74909343951015,Entire home/apt,149,4,8,2016-10-03,0.18,2,172
4288403,Private Guest House - Central & Walkable!,21153184,Aaron And Leigh,,78756,30.31265123321059,-97.7467254377866,Entire home/apt,105,1,124,2017-02-26,4.24,1,346
1011620,Cute Ranch - Austin Allendale Area,5564649,Duane,,78756,30.32958872049058,-97.74404151261767,Entire home/apt,225,2,10,2016-10-25,0.22,1,158
5340370,"1/1 + pets + laundry, sleeps 4-6!",27674647,Tera,,78756,30.32965731651213,-97.7358225062702,Entire home/apt,150,3,0,,,1,0
3041605,Spacious 4/3 in Central Austin,15438805,EmilyAnne,,78756,30.326314916696788,-97.73485253743704,Entire home/apt,450,3,4,2016-05-23,0.34,1,358
8186176,250sq-ft New Studio - Cent. Austin,27344698,Lizan,,78756,30.310819426862228,-97.74219236217331,Entire home/apt,135,2,19,2016-11-18,1.08,1,354
11167826,North Hyde Park Townhome,58103021,Trevor,,78756,30.327640611087304,-97.73343705848534,Shared room,54,1,1,2016-03-21,0.09,1,357
11397850,Two-story Town House in Central ATX,12352285,Michael,,78756,30.32217202089982,-97.73975476225363,Entire home/apt,100,2,19,2017-03-05,1.61,1,0
14607756,"Super comfy spot, great location",76447672,Brittney,,78756,30.32494948780905,-97.73582778237895,Entire home/apt,100,1,12,2017-01-25,1.88,1,355
11396320,SXSW Apartment,58893839,E,,78756,30.327769166453148,-97.7377835408364,Entire home/apt,250,1,0,,,1,0
16442580,Cozy modern North Loop Apartment,107803136,Tristan,,78756,30.321748738367372,-97.72955437342155,Entire home/apt,89,2,0,,,1,178
11034068,Modern Bungalow in Central Austin,39552720,Diem,,78756,30.31331915204627,-97.74171429621838,Entire home/apt,425,3,3,2017-02-16,0.25,1,347
16965052,Beautiful home in central Austin.,8187341,Natalya,,78756,30.328544820156086,-97.73864601573733,Entire home/apt,129,2,1,2017-03-01,1,2,356
711715,Beautiful 3 Bedroom -Central Austin,3662973,Robert,,78756,30.32810963220985,-97.73256240518278,Entire home/apt,500,1,0,,,1,365
4284266,"Rosedale Cottage in Austin, TX",22241548,Cathy,,78756,30.31204380938143,-97.74047923132146,Entire home/apt,110,2,22,2017-02-17,0.85,1,35
14604294,Newly Remodeled 1BR Austin Condo,48618586,Evolve Vacation Rental,,78756,30.32872277818583,-97.73252187436486,Entire home/apt,178,2,0,,,2,172
2250253,Central Austin Urban Cottage-SXSW,627048,Lisa,,78756,30.32266340848607,-97.73276023008873,Entire home/apt,200,3,1,2016-03-22,0.09,1,0
17567478,"NoLoop studio- clean, safe sleeps",85544443,Regina,,78756,30.325334364371326,-97.72725368763342,Shared room,30,1,0,,,1,170
14473604,"Comfy couch, private entrance/bath",25750024,Aynsley,,78756,30.33094061509691,-97.73762887300256,Private room,150,1,0,,,1,82
8555708,Entire Austin Apartment-ACL,21658198,James,,78756,30.325552025990145,-97.72682849013955,Entire home/apt,250,7,0,,,1,364
17125166,Cozy One bedroom apartment for an eventful SXSW,63490969,Chuck,,78756,30.31829841941227,-97.7311322216356,Entire home/apt,99,2,0,,,1,12
14077729,1920's Farmhouse in Central ATX!,2157243,Sean,,78756,30.30883739744559,-97.74614539759358,Entire home/apt,75,30,0,,,3,113
11389576,Comfy Couch for SXSW! Mins from DT!,59744467,Sarah,,78756,30.31864056324115,-97.73153162140683,Shared room,100,2,0,,,1,0
11159690,Music Paradise (Shared Space),337459,Earphoria,,78756,30.325013990081015,-97.73783005907687,Shared room,30,1,8,2017-02-26,0.64,4,356
11553073,Spacious Home in Central Austin Sleeps 8,22234571,Cathleen,,78756,30.31212037445527,-97.74145956693053,Entire home/apt,430,5,0,,,3,4
16597230,Designer's apartment,38686021,Rebekah,,78756,30.32937060865136,-97.74693470381222,Entire home/apt,350,1,0,,,1,84
2474218,SXSW Space w/Access to 3 BusStops,11817260,Sharon,,78756,30.323965843302272,-97.73581849255602,Shared room,75,1,0,,,1,0
7980816,"Central loc, new, private, 5* rated",27637240,Leslie,,78756,30.311161530929688,-97.74596809694064,Entire home/apt,100,2,48,2017-02-19,2.63,1,348
10864404,MCM 2/1 and cat lover's bargain!,6341163,Jennifer,,78756,30.325699338002707,-97.73721818480887,Entire home/apt,129,1,1,2016-03-17,0.08,1,0
4211596,4/3! Sleeps 8 or more! Central ATX!,21856018,Alison,,78756,30.324474096413926,-97.73670526240414,Entire home/apt,775,1,6,2016-03-17,0.25,1,358
10732236,Bungalow available for SXSW!,10711535,Arielle,,78756,30.31175955574867,-97.74049531835348,Entire home/apt,345,1,0,,,1,0
11634222,Cozy-colorful central home,480070,Carole,,78756,30.33012829361287,-97.73395797527077,Entire home/apt,125,14,3,2016-03-19,0.25,1,0
5447456,Tech equipped 1 BR,28256866,Jordan,,78756,30.32667028873773,-97.73505715699797,Entire home/apt,172,3,5,2015-10-27,0.23,1,0
8888471,Rosedale Bungalow Fully Furnished,12399486,Julie,,78756,30.31119966745841,-97.74274694355694,Entire home/apt,125,30,2,2016-12-22,0.20,1,295
14195887,Cozy 1 bedroom in central Austin,49395975,Tony,,78756,30.32437378806147,-97.72959496860965,Entire home/apt,77,1,1,2017-02-26,1,1,72
17575547,SXSW for Balla on a Budget,36383186,Severine,,78756,30.322054449662073,-97.73383347475139,Private room,65,1,0,,,1,354
627784,Charming Home in Central Austin,2194671,Louie,,78756,30.316232900502964,-97.74690702623046,Entire home/apt,150,30,6,2016-06-15,0.17,2,326
8032556,3BR/2BA Immaculate Rosedale House,42412174,Kurt,,78756,30.315571628887223,-97.74477207696835,Entire home/apt,258,2,56,2017-03-05,3.19,1,173
3281553,Gorgeous Central Austin Bungalow,7335335,Lorna,,78756,30.31270668821271,-97.7385960559181,Entire home/apt,399,1,4,2016-10-09,0.21,2,136
9902174,Spacious Back House in Rosedale,50695244,John,,78756,30.310402940186393,-97.74668442229121,Entire home/apt,95,2,14,2017-03-02,1.00,3,350
14093766,Newly built private flat in Central Austin,5817842,Nick,,78756,30.31323534138564,-97.74573608385055,Entire home/apt,105,1,28,2017-02-25,4.57,1,67
330705,UT Convenient House Available Spring 2017,1687198,M. Ann,,78756,30.323394179157333,-97.73763789523409,Entire home/apt,300,90,1,2012-03-17,0.02,1,275
5237709,"Cozy 1940's cottage, Central Austin",8925891,Apryl,,78756,30.330126414262143,-97.73483554875256,Entire home/apt,95,2,10,2017-01-02,0.42,1,0
7243467,The Brenwood Farm,3770245,Jessica,,78756,30.3226700390105,-97.73849260377379,Entire home/apt,340,3,8,2016-09-05,0.67,1,82
11862327,Guest House in great Neighborhood,38394332,James And Jaron,,78756,30.321279089703566,-97.73970140463433,Private room,65,3,41,2016-10-25,3.65,1,247
17171723,Red Brick on Sunshine,34692821,James,,78756,30.327403453372362,-97.72799878884108,Entire home/apt,500,1,0,,,1,348
11435715,Modern/Private 1B/1B (Brentwood),29899144,Jaime,,78756,30.321685409193197,-97.73639469697711,Entire home/apt,80,1,0,,,1,0
5143513,Central Austin Private Studio Apt,26590763,Heidi,,78756,30.313822507501392,-97.74652965515219,Entire home/apt,125,2,2,2016-10-23,0.41,1,127
5551188,SXSW Immediate Private Apartment,28774961,Madeleine,,78756,30.31987408528632,-97.73082848017674,Entire home/apt,350,1,3,2016-03-19,0.13,1,0
6799119,Modern/comfy bed/bath guest suite in North Central,3688036,Miranda,,78756,30.331650437378652,-97.73542173776613,Private room,125,2,0,,,1,21
5455707,Master Suite,27950887,Jonn,,78747,30.150645300308597,-97.74179608467513,Private room,39,1,241,2017-02-27,9.89,4,117
16942749,Private Bedroom in South Austin,67671874,Travis,,78747,30.15644017671717,-97.74832602877062,Private room,33,3,5,2017-02-22,4.69,2,37
17556262,South east hangout 1bed/1bath,86381449,Travis,,78747,30.148069763812018,-97.73678131705972,Private room,41,2,0,,,1,82
5525252,"2 Guest Bedrooms, 9 miles from dt",28654087,Meagan,,78747,30.14068783666311,-97.79358923602376,Private room,450,1,0,,,1,0
13264610,Close to COTA and the Airport,26503855,Katie,,78747,30.145635163597817,-97.76597183420408,Private room,50,1,0,,,1,0
5526151,Entire 2nd floor to yourself!,28660079,KiKo,,78747,30.154735578067363,-97.74290712557095,Private room,45,1,38,2017-03-05,1.58,1,318
5499091,Private Room with shared bath,27950887,Jonn,,78747,30.151757671446383,-97.74027377860384,Private room,28,1,150,2017-02-20,6.21,4,66
5031020,Room in Chill SE Austin Bungalow,18890567,Stephanie,,78747,30.146202369088346,-97.74003652854583,Private room,35,1,93,2017-02-18,3.87,6,167
16943219,Private Bedroom in South Austin with TV,67671874,Travis,,78747,30.156506355476758,-97.7484853967488,Private room,25,3,5,2017-03-05,5,2,124
17386119,South Austin / Home sweet Home,1427814,Andrea,,78747,30.162630114890874,-97.73708577080285,Private room,65,1,0,,,2,353
5660966,Crash pad and it ain't bad!,27950887,Jonn,,78747,30.15166454633911,-97.74168796151417,Private room,23,1,77,2017-03-02,3.32,4,63
320161,South Austin / Home sweet Home,1427814,Andrea,,78747,30.162039960032757,-97.73744485012207,Private room,55,1,8,2016-11-13,0.13,2,216
15288139,Nice Clean Apartment 10 minutes from downtown,97317057,Clair,,78747,30.14486214818126,-97.79109885278241,Entire home/apt,150,3,3,2016-10-31,0.60,1,358
5917038,Private room for rent (Queen bed),27656963,Emily,,78747,30.156359998896104,-97.73616557123331,Private room,100,1,0,,,1,365
5685241,Home Sweet Home,29476848,Angie,,78747,30.161613985121996,-97.73628295697587,Private room,90,1,2,2016-04-09,0.12,1,0
15943855,"Quiet, Clean, Close to Downtown",56010427,Nick,,78747,30.157848690885185,-97.74130114032135,Private room,175,1,0,,,1,177
5768100,2 Bedrooms - 2-6 People!,27950887,Jonn,,78747,30.152252091050688,-97.74146149843881,Private room,65,1,0,,,4,34
15616228,Private Cabin for Formula 1 Weekend,100223657,Laura,,78747,30.11488211103231,-97.69621447726516,Entire home/apt,1000,2,0,,,1,89
15512980,The Austin Oasis,56924530,Jared,,78747,30.141169494529077,-97.79060075696732,Entire home/apt,400,3,9,2017-01-08,2.00,1,64
17464269,New 32' travel trailer w/ slide out on 1.5 acres,385700,Jim,,78747,30.15107705839343,-97.7648331952099,Entire home/apt,91,1,0,,,1,82
16636654,Luxurious home in golf course neighborhood!,9340257,Lucia,,78747,30.134956572197947,-97.78801047807097,Entire home/apt,429,2,0,,,1,298
11757979,AirMattress Cozy SE Austin Bungalow,18890567,Stephanie,,78747,30.14607399233763,-97.73965001487137,Shared room,23,1,34,2017-02-05,2.84,6,78
1682046,PERFECT HOUSE FOR FORMULA 1! ,5654915,Becky,,78747,30.142380916948078,-97.76785086051619,Entire home/apt,300,2,1,2015-10-26,0.06,1,365
945619,LG 3 BR Home Private Pool and Spa,5123182,Jennifer,,78747,30.14008294531698,-97.78137124623106,Entire home/apt,2500,3,0,,,1,365
2247621,Two bedroom condo on I 35,11481168,Nancy,,78747,30.13607017408792,-97.79390980503148,Entire home/apt,300,1,0,,,1,365
960362,Spacious private home with view,3076549,Rani,,78747,30.145752779703344,-97.78193388503247,Entire home/apt,665,3,1,2014-07-08,0.03,2,365
12005377,"Tiny couch, shared room.",18890567,Stephanie,,78747,30.1481097533646,-97.73991728825528,Shared room,20,1,29,2017-02-03,2.57,6,364
8273490,"Large 2,400 sq ft 4bedroom/2.5bath",2779438,Rob,,78747,30.1549017601432,-97.78657992647894,Entire home/apt,300,2,1,2016-02-15,0.08,1,362
12053232,Twin airmattress super shared space,18890567,Stephanie,,78747,30.14769557252823,-97.74016761488606,Shared room,19,1,27,2016-12-03,2.35,6,353
3551776,Bed and Breakfast,3076549,Rani,,78747,30.144941094511946,-97.7834963150871,Private room,265,2,0,,,2,365
17464704,Chic Shared space for SXSW,90051396,Jacey,,78747,30.14648461408031,-97.78990529257901,Shared room,50,1,0,,,1,358
11439062,Couch in relaxed SE Austin Bungalow,18890567,Stephanie,,78747,30.14755782316916,-97.73860687008155,Shared room,25,1,49,2017-01-18,4.01,6,171
5543526,Room in Laidback SE Austin Bungalow,18890567,Stephanie,,78747,30.147468749449466,-97.73841111985556,Private room,36,1,74,2017-02-19,3.07,6,83
11473650,South Austin Hideaway,60369614,Grant,,78747,30.154354118847877,-97.78655082083444,Private room,83,2,0,,,1,364
4227482,"Room in SE ATX, Close F1 15 min DT",21938751,Ella,,78747,30.155380971663426,-97.74472627563645,Private room,50,1,1,2014-11-03,0.04,1,365
12549235,Urban Tree House,68015573,Trish,,78751,30.321314431837493,-97.72146802287979,Private room,75,1,49,2017-02-26,8.26,1,156
14330156,Southwest Charm,1026656,Kathleen And Nick,,78751,30.320542532657907,-97.7260335880659,Private room,60,1,48,2017-02-26,7.27,1,11
13389571,One Bedroom with Personal Bathroom,8167447,Martin,,78751,30.312122139330835,-97.71232120107376,Private room,40,1,18,2017-03-06,4.70,50,9
16701603,Newly Renovated Hotel,110634735,Jonathan,,78751,30.32067851702776,-97.70852681355284,Private room,79,1,7,2017-02-26,4.47,1,342
17573204,Great North Loop Room!,4446890,New,,78751,30.317676302721917,-97.71832749347537,Private room,65,1,0,,,3,1
5251462,Master Bedroom in Artist flat,1776994,Kim,,78751,30.314299948256743,-97.71708708304698,Private room,30,1,134,2017-02-20,5.51,1,339
16176675,"Kookaburra Room, Hyde Park, Central Austin",583534,Janet,,78751,30.31280298678402,-97.72530252419207,Private room,51,1,1,2017-01-16,0.59,1,323
14596631,Bright room in cute and convenient Hyde Park,90550184,Kayleigh,,78751,30.316969173461867,-97.7198738126486,Private room,45,1,35,2017-03-05,6.14,1,33
16512198,HYDE PARK PAD.  QUIET ROOM IN HOME.,108535479,Sam,,78751,30.311247599383858,-97.7276339566098,Private room,75,1,5,2017-03-05,5,1,156
17480703,Charming and Chill Backyard Bungalow,25871139,Jessie,,78751,30.312106761138978,-97.71182493354722,Private room,60,1,0,,,1,355
