id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13733398,"Luxury, Minutes to Downtown Near Pittock Mansion",1783566,Alana & Ryan,Sylvan-Highlands,45.51973024,-122.7264998,Entire home/apt,295,3,7,10/29/2016,1.76,1,150
4493001,Mad Court House - Private Apartment,22904946,Zoe And Sibyl,Sylvan-Highlands,45.51228528,-122.7386805,Entire home/apt,120,2,45,10/9/2016,2.07,1,174
7150418,Forested retreat minutes from downtown Portland,14747173,Roy,Sylvan-Highlands,45.51281264,-122.7305954,Entire home/apt,79,5,4,9/10/2016,0.28,1,56
8811960,Bedroom with bath and 2 beds,22562487,Cole,Sylvan-Highlands,45.51882026,-122.7274465,Private room,68,2,2,3/23/2016,0.16,2,0
6836685,MidCentury View Home - Pvt. Floor,2000049,Adam,Sylvan-Highlands,45.5158607,-122.7366441,Private room,99,1,11,11/23/2015,0.65,1,180
6055815,Sylvan Highlands Homestead Retreat,24453020,Kelly,Sylvan-Highlands,45.51403407,-122.7372482,Entire home/apt,220,4,9,8/10/2016,0.54,1,0
13417668,Greeley Guesthouse,2050598,Jessica,Arbor Lodge,45.56900426,-122.6931529,Private room,65,1,13,10/9/2016,2.65,1,350
477845,The Garden Room in Arbor Lodge,1391205,Clarissa,Arbor Lodge,45.57318394,-122.6853617,Private room,55,2,88,10/24/2016,1.68,2,321
13859584,Cozy basement suite in quiet Arbor Lodge home,5767401,Jocelyn,Arbor Lodge,45.57094707,-122.6837588,Private room,45,2,12,10/4/2016,4.24,1,0
12402994,"Stunning, Ultra-Modern NoPo Flat-walk to the MAX!",51738043,White Spider,Arbor Lodge,45.56694682,-122.6854114,Entire home/apt,99,2,20,10/18/2016,3.21,13,365
6885453,Beautiful Arbor Lodge Home,2488728,Isaac,Arbor Lodge,45.57129568,-122.699268,Entire home/apt,175,2,4,11/29/2015,0.25,1,0
13516828,North Portland House with Hot tub,66299573,Renae,Arbor Lodge,45.57572326,-122.7047625,Entire home/apt,280,1,4,10/21/2016,1.13,1,5
5513323,Cozy Room in Historic NoPo Home,28598877,Ian,Arbor Lodge,45.57469895,-122.6845443,Private room,50,1,79,10/24/2016,4.58,1,79
